;egg;L1;L2;L3;pupae;total;temp;loc;r_egg;r_l1;r_l2;r_l3;r_pup;r_tot;year
PSW21010;108;121.5;;;;;21;Praha;0.009259259;0.008230453;;;;;2013
KSW18004;154.25;125;;;;;18;Klatovy;0.006482982;0.008;;;;;2013
PSW21017;107.0000007;125.5;;;;;21;Praha;0.009345794;0.007968127;;;;;2013
PSW15005;181.5;141;;;;;15;Praha;0.005509642;0.007092199;;;;;2013
137P15;216;144;;;;;15;Praha;0.00462963;0.006944444;;;;;2012
PSW15015;233.0000007;144;;;;;15;Praha;0.004291845;0.006944444;;;;;2013
PSW15008;178.5000007;147;;;;;15;Praha;0.005602241;0.006802721;;;;;2013
BSW15006;157.0000007;166.5;;;;;15;Bestvi;0.006369427;0.006006006;;;;;2013
PSW15006;205.5;186.5;;;;;15;Praha;0.00486618;0.00536193;;;;;2013
BSW15007;157.0000007;189;;;;;15;Bestvi;0.006369427;0.005291005;;;;;2013
BSW15005;178.5000007;190.75;;;;;15;Bestvi;0.005602241;0.005242464;;;;;2013
PSW15009;178.5000007;190.75;;;;;15;Praha;0.005602241;0.005242464;;;;;2013
PSW15012;208.5;191;;;;;15;Praha;0.004796163;0.005235602;;;;;2013
BSW15009;157;360;;;;;15;Bestvi;0.006369427;0.002777778;;;;;2013
102B25;72;;;;;;25;Bestvi;0.013888889;;;;;;2012
103B25;72;;;;;;25;Bestvi;0.013888889;;;;;;2012
104B25;72;;;;;;25;Bestvi;0.013888889;;;;;;2012
105B25;72;;;;;;25;Bestvi;0.013888889;;;;;;2012
106B25;72;;;;;;25;Bestvi;0.013888889;;;;;;2012
107B25;72;;;;;;25;Bestvi;0.013888889;;;;;;2012
108B25;72;;;;;;25;Bestvi;0.013888889;;;;;;2012
109B25;72;;;;;;25;Bestvi;0.013888889;;;;;;2012
110B25;72;;;;;;25;Bestvi;0.013888889;;;;;;2012
111B25;72;;;;;;25;Bestvi;0.013888889;;;;;;2012
112B25;72;;;;;;25;Bestvi;0.013888889;;;;;;2012
113B25;72;;;;;;25;Bestvi;0.013888889;;;;;;2012
114B25;72;;;;;;25;Bestvi;0.013888889;;;;;;2012
128P21;72;;;;;;21;Praha;0.013888889;;;;;;2012
129P21;72;;;;;;21;Praha;0.013888889;;;;;;2012
130P21;72;;;;;;21;Praha;0.013888889;;;;;;2012
BSW21019;80;;;;;;21;Bestvi;0.0125;;;;;;2013
BSW21020;80;;;;;;21;Bestvi;0.0125;;;;;;2013
BSW21009;82.5;;;;;;21;Bestvi;0.012121212;;;;;;2013
BSW21010;82.5;;;;;;21;Bestvi;0.012121212;;;;;;2013
BSW21013;83.25;;;;;;21;Bestvi;0.012012012;;;;;;2013
BSW21015;83.25;;;;;;21;Bestvi;0.012012012;;;;;;2013
PSW21023;83.25;;;;;;21;Praha;0.012012012;;;;;;2013
BSW21022;85.5;;;;;;21;Bestvi;0.011695906;;;;;;2013
PSW21044;88;;;;;;21;Praha;0.011363636;;;;;;2013
BSW21030;88.5;;;;;;21;Bestvi;0.011299435;;;;;;2013
BSW21031;88.5;;;;;;21;Bestvi;0.011299435;;;;;;2013
133B15;96;;;;;;15;Bestvi;0.010416667;;;;;;2012
134B15;96;;;;;;15;Bestvi;0.010416667;;;;;;2012
135R15;96;;;;;;15;Praha;0.010416667;;;;;;2012
KSW18007;105.5;;;;;;18;Klatovy;0.009478673;;;;;;2013
PSW21038;105.5;;;;;;21;Praha;0.009478673;;;;;;2013
DSW18003;106;;;;;;18;Domazlice;0.009433962;;;;;;2013
BSW21018;106.5;;;;;;21;Bestvi;0.009389671;;;;;;2013
PSW21024;106.5;;;;;;21;Praha;0.009389671;;;;;;2013
PSW21059;106.5;;;;;;21;Praha;0.009389671;;;;;;2013
PSW21064;106.5;;;;;;21;Praha;0.009389671;;;;;;2013
